Field,Symptoms,Conditions
Cardiology,"heart pain, chest pain, shortness of breath, palpitations, fatigue, swelling in legs, dizziness, cold sweat, nausea, rapid heartbeat, irregular heartbeat, pain radiating to arm or jaw","Angina, Myocardial Infarction, Heart Failure, Arrhythmia, Hypertension, Cardiomyopathy, Aortic Aneurysm, Pericarditis"
Neurology,"headache, dizziness, fainting, numbness, tingling, weakness, confusion, memory loss, seizures, difficulty concentrating, visual disturbances, tremors, sleep disturbances","Migraine, Tension headache, Epilepsy, Multiple Sclerosis, Stroke, Alzheimer's Disease, Parkinson's Disease, Peripheral Neuropathy"
Gastroenterology,"abdominal pain, nausea, vomiting, diarrhea, constipation, bloating, heartburn, fatigue, weight loss, loss of appetite, difficulty swallowing, excessive gas, jaundice","Irritable Bowel Syndrome, Gastritis, Peptic Ulcer, Gastroesophageal Reflux Disease (GERD), Celiac Disease, Crohn's Disease, Hepatitis, Pancreatitis"
Respiratory,"cough, shortness of breath, wheezing, chest tightness, frequent respiratory infections, fatigue, blue lips, rapid breathing, coughing up blood, chest pain, persistent cough, loss of smell or taste","Asthma, COPD, Pneumonia, Bronchitis, Pulmonary Embolism, Interstitial Lung Disease, Tuberculosis, Lung Cancer"
Dermatology,"rash, itching, dry skin, redness, swelling, hives, changes in skin color, hair loss, nail changes, blisters, flaky skin, skin lesions, acne, scarring","Eczema, Psoriasis, Contact Dermatitis, Acne, Fungal Infections, Skin Cancer, Rosacea, Vitiligo"
Orthopedics,"joint pain, knee pain, swelling, stiffness, limited range of motion, back pain, muscle weakness, creaking joints, instability, tenderness, warmth in joints, deformity, fatigue, numbness","Osteoarthritis, Rheumatoid Arthritis, Tendinitis, Bursitis, Fractures, Osteoporosis, Gout, Fibromyalgia, Meniscus Tear, Patellar Tendonitis, ACL Injury"
Endocrinology,"weight gain, fatigue, excessive thirst, increased urination, mood swings, hair loss, heat intolerance, cold intolerance, increased appetite, decreased libido, skin changes, menstrual irregularities","Diabetes Type 1, Diabetes Type 2, Hyperthyroidism, Hypothyroidism, Cushing's Syndrome, Addison's Disease, Polycystic Ovary Syndrome (PCOS), Thyroid Cancer"
Hematology,"unusual bleeding, fatigue, pale skin, frequent infections, bruising, shortness of breath, rapid heart rate, weakness, dizziness, headaches, sensitivity to cold, swollen lymph nodes","Anemia, Hemophilia, Leukemia, Thalassemia, Sickle Cell Disease, Polycythemia Vera, Myelodysplastic Syndromes"
Oncology,"tumor, unexplained weight loss, fatigue, pain, changes in appetite, persistent cough, night sweats, unusual lumps, skin changes, changes in bowel habits, persistent fever, difficulty swallowing, blood in stool","Breast Cancer, Lung Cancer, Prostate Cancer, Colorectal Cancer, Lymphoma, Skin Cancer, Testicular Cancer, Ovarian Cancer"
Psychiatry,"depression, anxiety, mood swings, irritability, changes in sleep patterns, withdrawal from social activities, suicidal thoughts, hallucinations, obsessive thoughts, panic attacks, low energy, lack of motivation","Generalized Anxiety Disorder, Major Depressive Disorder, Bipolar Disorder, Schizophrenia, PTSD, Obsessive-Compulsive Disorder (OCD), Borderline Personality Disorder"
Infectious Disease,"fever, chills, fatigue, muscle aches, cough, sore throat, rash, diarrhea, nausea, night sweats, headaches, loss of appetite, swollen lymph nodes","Flu, COVID-19, Tuberculosis, HIV/AIDS, Hepatitis, Lyme Disease, Strep Throat, Meningitis"
Allergy,"sneezing, itchy eyes, runny nose, rash, swelling, shortness of breath, anaphylaxis, cough, hives, dizziness, gastrointestinal symptoms, nasal congestion","Hay Fever, Food Allergies, Insect Sting Allergies, Asthma, Eczema, Anaphylactic Shock"
Urology,"painful urination, frequent urination, blood in urine, lower abdominal pain, back pain, swelling in the legs, urgency, incontinence, difficulty urinating, kidney pain","Urinary Tract Infection (UTI), Kidney Stones, Bladder Infection, Prostate Cancer, Benign Prostatic Hyperplasia, Interstitial Cystitis"
Gynecology,"irregular periods, pelvic pain, heavy bleeding, unusual discharge, breast tenderness, hot flashes, fatigue, mood changes, nausea, pain during intercourse, bloating","Polycystic Ovary Syndrome (PCOS), Endometriosis, Fibroids, Menopause, Ovarian Cysts, Pelvic Inflammatory Disease (PID)"
Ophthalmology,"blurry vision, dry eyes, eye pain, floaters, double vision, halos around lights, eye redness, sensitivity to light, loss of peripheral vision, eye strain, swelling around the eyes","Cataracts, Glaucoma, Macular Degeneration, Conjunctivitis, Retinal Detachment, Diabetic Retinopathy"
Rheumatology,"joint stiffness, knee pain, fatigue, muscle pain, joint swelling, morning stiffness, reduced mobility, fever, rash, mouth ulcers, photosensitivity, muscle weakness, dry mouth or eyes","Rheumatoid Arthritis, Lupus, Sjogren's Syndrome, Fibromyalgia, Gout, Scleroderma, Osteoarthritis"
Nephrology,"swollen legs or feet, high blood pressure, foamy urine, fatigue, frequent urination at night, loss of appetite, nausea, back pain, shortness of breath, muscle cramps, itching","Chronic Kidney Disease, Acute Kidney Injury, Nephrotic Syndrome, Glomerulonephritis, Kidney Stones, Polycystic Kidney Disease"
Pediatrics,"fever, irritability, refusal to eat, vomiting, diarrhea, persistent crying, rash, difficulty breathing, poor weight gain, fatigue, excessive sleepiness, ear pulling, cold symptoms","Chickenpox, Measles, RSV, Hand-Foot-Mouth Disease, Croup, Scarlet Fever, Ear Infections"
ENT,"sore throat, ear pain, hoarseness, hearing loss, nasal congestion, postnasal drip, dizziness, facial pain, snoring, loss of voice, balance problems, cough","Tonsillitis, Sinusitis, Otitis Media, Sleep Apnea, Vertigo, Nasal Polyps, Laryngitis, Tinnitus"
